FamilyID	TaxonID	Count	Change	Pvalue
S09X	37	44	-1	0.381198
S09X	42	66	21	3.92197e-10
S09X	44	38	-6	9.38136e-05
S09X	Sporothrix_pseudoabietina_VPRI43531	35	-2	0.0217643
S09X	Sporothrix_variecibatus_CBS121961	67	23	7.38472e-19
S09X	Sporothrix_protearum_CBS116654	30	-12	8.85206e-07
S09X	47	36	-1	0.444405
S09X	Sporothrix_dimorphospora_CBS55374	64	2	0.388659
S09X	45	37	-1	0.69594
S09X	Sporothrix_mexicana_CBS120341	66	0	0.861033
S09X	48	62	17	6.82179e-09
S09X	Sporothrix_euskadiensis_VPRI43754	37	0	0.714096
S09X	Sporothrix_pallida_CBS13156	73	3	0.0120157
S09X	41	37	-7	2.03328e-05
S09X	43	70	4	0.00515187
S09X	49	38	0	0.83952
S09X	Sporothrix_phasma_CBS119721	22	-16	4.00932e-09
S09X	51	38	-2	0.210827
S09X	52	39	1	0.178622
S09X	56	71	31	1.37762e-12
S09X	Sporothrix_schenckii_1099	36	0	0.726914
S09X	Sporothrix_globosa_CBS120340	41	4	0.0109908
S09X	Sporothrix_brasiliensis_5110	34	-2	0.0258252
S09X	Sporothrix_curviconia_CBS95973	57	8	0.0118717
S09X	Sporothrix_luriei_CBS93772	33	-4	0.0156945
S09X	50	40	2	0.142548
S09X	57	25	-8	0.0104948
S09X	Sporothrix_epigloea_CBS119000	12	-3	0.0305832
S09X	Sporothrix_epigloea_CBS57363	12	0	0.713418
S09X	55	12	-3	0.00879748
S09X	Sporothrix_inflata_CBS23968	72	10	0.000426629
S09X	53	49	10	1.10888e-08
S09X	Sporothrix_thermara_CBS139747MAG	29	-10	0.000948847
S09X	54	15	-23	4.25566e-20
S09X	Sporothrix_epigloea_TF4163	11	-1	0.334466
S09X	Sporothrix_nigrograna_VPRI43755	27	-11	0.00188178
S09X	Sporothrix_eucalyptigena_CBS139899	71	0	0.540076
S09X	Sporothrix_eucalyptigena_CBS140593	74	3	1.78808e-05
S09X	Ophiostoma_novoulmi_H327	27	2	0.369078
S09X	Ophiostoma_ips_VPRI43529	15	-10	7.35024e-05
S09X	Sporothrix_brunneoviolacea_CBS124561	64	31	1.47937e-08
S09X	Ophiostoma_fasciatum_VPRI43845	29	-2	0.700217
S09X	Sporothrix_insectorum_RCEF264	27	1	0.698046
S09X	Leptographium_lundbergii_CBS138716	27	16	0.000315826
A01A	Sporothrix_bragantina_CBS47491	17	2	0.179576
A01A	35	15	1	0.377494
A01A	36	17	2	0.165507
A01A	32	14	1	0.310726
A01A	33	14	0	0.749812
A01A	31	13	4	0.0509872
A01A	38	17	0	0.629772
A01A	39	17	0	0.788662
A01A	Sporothrix_humicola_CBS118129	20	0	0.609472
A01A	40	17	0	0.774971
A01A	37	17	0	0.623333
A01A	42	19	2	0.176176
A01A	44	17	0	0.719419
A01A	Sporothrix_pseudoabietina_VPRI43531	16	0	0.617494
A01A	Sporothrix_variecibatus_CBS121961	20	3	0.0176052
A01A	Sporothrix_protearum_CBS116654	15	-2	0.230314
A01A	47	17	0	0.675171
A01A	Sporothrix_dimorphospora_CBS55374	20	0	0.855827
A01A	45	17	0	0.830839
A01A	Sporothrix_mexicana_CBS120341	19	0	0.71759
A01A	48	20	3	0.0649954
A01A	Sporothrix_euskadiensis_VPRI43754	14	-2	0.00453127
A01A	Sporothrix_pallida_CBS13156	20	0	0.609472
A01A	41	16	-1	0.370084
A01A	43	20	1	0.0993686
A01A	49	15	0	0.727578
A01A	Sporothrix_phasma_CBS119721	12	-5	0.00446098
A01A	51	15	0	0.727578
A01A	52	15	0	0.623334
A01A	56	19	4	0.0782499
A01A	Sporothrix_schenckii_1099	17	0	0.636029
A01A	Sporothrix_globosa_CBS120340	18	1	0.193596
A01A	Sporothrix_brasiliensis_5110	17	0	0.636029
A01A	Sporothrix_curviconia_CBS95973	17	2	0.179576
A01A	Sporothrix_luriei_CBS93772	15	-2	0.127622
A01A	50	15	0	0.753713
A01A	57	14	0	0.900373
A01A	Sporothrix_epigloea_CBS119000	9	-2	0.152073
A01A	Sporothrix_epigloea_CBS57363	11	0	0.702151
A01A	55	11	0	0.747467
A01A	Sporothrix_inflata_CBS23968	21	1	0.391122
A01A	53	15	0	0.70315
A01A	Sporothrix_thermara_CBS139747MAG	13	-2	0.337231
A01A	54	11	-4	0.00399403
A01A	Sporothrix_epigloea_TF4163	10	-1	0.315553
A01A	Sporothrix_nigrograna_VPRI43755	12	-3	0.232579
A01A	Sporothrix_eucalyptigena_CBS139899	19	0	0.511229
A01A	Sporothrix_eucalyptigena_CBS140593	19	0	0.511229
A01A	Ophiostoma_novoulmi_H327	15	1	0.497919
A01A	Ophiostoma_ips_VPRI43529	13	-1	0.683718
A01A	Sporothrix_brunneoviolacea_CBS124561	21	7	0.0220675
A01A	Ophiostoma_fasciatum_VPRI43845	11	-3	0.364526
A01A	Sporothrix_insectorum_RCEF264	15	2	0.477436
A01A	Leptographium_lundbergii_CBS138716	14	5	0.102294
S09C	Sporothrix_bragantina_CBS47491	13	6	0.000146183
S09C	35	7	0	0.774864
S09C	36	7	0	0.792442
S09C	32	7	0	0.746074
S09C	33	7	0	0.661622
S09C	31	7	1	0.400714
S09C	38	7	0	0.561014
S09C	39	7	0	0.674614
S09C	Sporothrix_humicola_CBS118129	7	-2	0.000773476
S09C	40	8	1	0.104053
S09C	37	7	0	0.557546
S09C	42	9	2	0.109993
S09C	44	6	-1	0.17809
S09C	Sporothrix_pseudoabietina_VPRI43531	8	0	0.564925
S09C	Sporothrix_variecibatus_CBS121961	10	2	0.0337603
S09C	Sporothrix_protearum_CBS116654	5	-2	0.03513
S09C	47	8	2	0.00469434
S09C	Sporothrix_dimorphospora_CBS55374	7	0	0.735178
S09C	45	6	0	0.701715
S09C	Sporothrix_mexicana_CBS120341	12	3	0.000760093
S09C	48	7	0	0.748658
S09C	Sporothrix_euskadiensis_VPRI43754	7	-1	0.09827
S09C	Sporothrix_pallida_CBS13156	9	0	0.554538
S09C	41	8	0	0.641416
S09C	43	9	0	0.584584
S09C	49	7	0	0.635319
S09C	Sporothrix_phasma_CBS119721	5	-1	0.435609
S09C	51	7	0	0.635319
S09C	52	7	0	0.56444
S09C	56	16	9	6.8017e-06
S09C	Sporothrix_schenckii_1099	8	0	0.572585
S09C	Sporothrix_globosa_CBS120340	5	-1	0.186445
S09C	Sporothrix_brasiliensis_5110	8	0	0.572585
S09C	Sporothrix_curviconia_CBS95973	7	0	0.801268
S09C	Sporothrix_luriei_CBS93772	6	0	0.664181
S09C	50	7	0	0.657088
S09C	57	6	-1	0.588575
S09C	Sporothrix_epigloea_CBS119000	3	0	0.65157
S09C	Sporothrix_epigloea_CBS57363	3	0	0.573542
S09C	55	3	0	0.599089
S09C	Sporothrix_inflata_CBS23968	8	1	0.17597
S09C	53	7	0	0.616715
S09C	Sporothrix_thermara_CBS139747MAG	5	-2	0.167553
S09C	54	3	-4	0.000245939
S09C	Sporothrix_epigloea_TF4163	3	0	0.573542
S09C	Sporothrix_nigrograna_VPRI43755	4	-3	0.0476972
S09C	Sporothrix_eucalyptigena_CBS139899	16	0	0.509482
S09C	Sporothrix_eucalyptigena_CBS140593	16	0	0.509482
S09C	Ophiostoma_novoulmi_H327	6	0	0.819965
S09C	Ophiostoma_ips_VPRI43529	6	0	0.819965
S09C	Sporothrix_brunneoviolacea_CBS124561	13	6	0.0132013
S09C	Ophiostoma_fasciatum_VPRI43845	2	-5	0.010195
S09C	Sporothrix_insectorum_RCEF264	8	1	0.585349
S09C	Leptographium_lundbergii_CBS138716	8	2	0.28535
