Module	cluster	Rank_3	Rank_2	Rank_1
M00961	33	Biosynthesis of phytochemical compounds	Biosynthesis of other secondary metabolites	Pathway Modules
M00370	33	Biosynthesis of phytochemical compounds	Biosynthesis of other secondary metabolites	Pathway Modules
M00900	33	Biosynthesis of phytochemical compounds	Biosynthesis of other secondary metabolites	Pathway Modules
M00971	33	Biosynthesis of phytochemical compounds	Biosynthesis of other secondary metabolites	Pathway Modules
M00894	33	Biosynthesis of phytochemical compounds	Biosynthesis of other secondary metabolites	Pathway Modules
M00953	33	Biosynthesis of phytochemical compounds	Biosynthesis of other secondary metabolites	Pathway Modules
M00952	33	Biosynthesis of phytochemical compounds	Biosynthesis of other secondary metabolites	Pathway Modules
M00902	33	Biosynthesis of phytochemical compounds	Biosynthesis of other secondary metabolites	Pathway Modules
M00672	34	Biosynthesis of beta-lactams	Biosynthesis of other secondary metabolites	Pathway Modules
M00673	34	Biosynthesis of beta-lactams	Biosynthesis of other secondary metabolites	Pathway Modules
M00675	34	Biosynthesis of beta-lactams	Biosynthesis of other secondary metabolites	Pathway Modules
M00736	34	Biosynthesis of beta-lactams	Biosynthesis of other secondary metabolites	Pathway Modules
M00674	34	Biosynthesis of beta-lactams	Biosynthesis of other secondary metabolites	Pathway Modules
M00877	35	Biosynthesis of other antibiotics	Biosynthesis of other secondary metabolites	Pathway Modules
M00889	35	Biosynthesis of other antibiotics	Biosynthesis of other secondary metabolites	Pathway Modules
M00815	35	Biosynthesis of other antibiotics	Biosynthesis of other secondary metabolites	Pathway Modules
M00904	35	Biosynthesis of other antibiotics	Biosynthesis of other secondary metabolites	Pathway Modules
M00787	35	Biosynthesis of other antibiotics	Biosynthesis of other secondary metabolites	Pathway Modules
M00785	35	Biosynthesis of other antibiotics	Biosynthesis of other secondary metabolites	Pathway Modules
M00848	35	Biosynthesis of other antibiotics	Biosynthesis of other secondary metabolites	Pathway Modules
M00788	35	Biosynthesis of other antibiotics	Biosynthesis of other secondary metabolites	Pathway Modules
M00819	35	Biosynthesis of other antibiotics	Biosynthesis of other secondary metabolites	Pathway Modules
M00903	35	Biosynthesis of other antibiotics	Biosynthesis of other secondary metabolites	Pathway Modules
M00890	35	Biosynthesis of other antibiotics	Biosynthesis of other secondary metabolites	Pathway Modules
M00951	35	Biosynthesis of other antibiotics	Biosynthesis of other secondary metabolites	Pathway Modules
M00969	35	Biosynthesis of other antibiotics	Biosynthesis of other secondary metabolites	Pathway Modules
M00661	36	Biosynthesis of other fungal compounds	Biosynthesis of other secondary metabolites	Pathway Modules
M00786	36	Biosynthesis of other fungal compounds	Biosynthesis of other secondary metabolites	Pathway Modules
M00937	36	Biosynthesis of other fungal compounds	Biosynthesis of other secondary metabolites	Pathway Modules
M00893	36	Biosynthesis of other fungal compounds	Biosynthesis of other secondary metabolites	Pathway Modules
M00891	36	Biosynthesis of other fungal compounds	Biosynthesis of other secondary metabolites	Pathway Modules
M00901	36	Biosynthesis of other fungal compounds	Biosynthesis of other secondary metabolites	Pathway Modules
M00814	37	Biosynthesis of other bacterial compounds	Biosynthesis of other secondary metabolites	Pathway Modules
M00789	37	Biosynthesis of other bacterial compounds	Biosynthesis of other secondary metabolites	Pathway Modules
M00790	37	Biosynthesis of other bacterial compounds	Biosynthesis of other secondary metabolites	Pathway Modules
M00805	37	Biosynthesis of other bacterial compounds	Biosynthesis of other secondary metabolites	Pathway Modules
M00808	37	Biosynthesis of other bacterial compounds	Biosynthesis of other secondary metabolites	Pathway Modules
M00835	37	Biosynthesis of other bacterial compounds	Biosynthesis of other secondary metabolites	Pathway Modules
M00837	37	Biosynthesis of other bacterial compounds	Biosynthesis of other secondary metabolites	Pathway Modules
M00838	37	Biosynthesis of other bacterial compounds	Biosynthesis of other secondary metabolites	Pathway Modules
M00921	37	Biosynthesis of other bacterial compounds	Biosynthesis of other secondary metabolites	Pathway Modules
M00905	37	Biosynthesis of other bacterial compounds	Biosynthesis of other secondary metabolites	Pathway Modules
M00876	37	Biosynthesis of other bacterial compounds	Biosynthesis of other secondary metabolites	Pathway Modules
M00875	37	Biosynthesis of other bacterial compounds	Biosynthesis of other secondary metabolites	Pathway Modules
M00918	37	Biosynthesis of other bacterial compounds	Biosynthesis of other secondary metabolites	Pathway Modules
M00906	37	Biosynthesis of other bacterial compounds	Biosynthesis of other secondary metabolites	Pathway Modules
M00538	38	Aromatics degradation	Xenobiotics biodegradation	Pathway Modules
M00537	38	Aromatics degradation	Xenobiotics biodegradation	Pathway Modules
M00419	38	Aromatics degradation	Xenobiotics biodegradation	Pathway Modules
M00547	38	Aromatics degradation	Xenobiotics biodegradation	Pathway Modules
M00548	38	Aromatics degradation	Xenobiotics biodegradation	Pathway Modules
M00551	38	Aromatics degradation	Xenobiotics biodegradation	Pathway Modules
M00637	38	Aromatics degradation	Xenobiotics biodegradation	Pathway Modules
M00568	38	Aromatics degradation	Xenobiotics biodegradation	Pathway Modules
M00569	38	Aromatics degradation	Xenobiotics biodegradation	Pathway Modules
M00539	38	Aromatics degradation	Xenobiotics biodegradation	Pathway Modules
M00543	38	Aromatics degradation	Xenobiotics biodegradation	Pathway Modules
M00544	38	Aromatics degradation	Xenobiotics biodegradation	Pathway Modules
M00418	38	Aromatics degradation	Xenobiotics biodegradation	Pathway Modules
M00541	38	Aromatics degradation	Xenobiotics biodegradation	Pathway Modules
M00540	38	Aromatics degradation	Xenobiotics biodegradation	Pathway Modules
M00534	38	Aromatics degradation	Xenobiotics biodegradation	Pathway Modules
M00638	38	Aromatics degradation	Xenobiotics biodegradation	Pathway Modules
M00624	38	Aromatics degradation	Xenobiotics biodegradation	Pathway Modules
M00623	38	Aromatics degradation	Xenobiotics biodegradation	Pathway Modules
M00636	38	Aromatics degradation	Xenobiotics biodegradation	Pathway Modules
M00878	38	Aromatics degradation	Xenobiotics biodegradation	Pathway Modules
M00545	38	Aromatics degradation	Xenobiotics biodegradation	Pathway Modules
M00915	38	Aromatics degradation	Xenobiotics biodegradation	Pathway Modules
M00852	39	Pathogenicity	Gene set	Signature Modules
M00850	39	Pathogenicity	Gene set	Signature Modules
M00542	39	Pathogenicity	Gene set	Signature Modules
M00363	39	Pathogenicity	Gene set	Signature Modules
M00853	39	Pathogenicity	Gene set	Signature Modules
M00576	39	Pathogenicity	Gene set	Signature Modules
M00856	39	Pathogenicity	Gene set	Signature Modules
M00857	39	Pathogenicity	Gene set	Signature Modules
M00575	39	Pathogenicity	Gene set	Signature Modules
M00574	39	Pathogenicity	Gene set	Signature Modules
M00564	39	Pathogenicity	Gene set	Signature Modules
M00859	39	Pathogenicity	Gene set	Signature Modules
M00860	39	Pathogenicity	Gene set	Signature Modules
M00851	40	Drug resistance	Gene set	Signature Modules
M00625	40	Drug resistance	Gene set	Signature Modules
M00627	40	Drug resistance	Gene set	Signature Modules
M00745	40	Drug resistance	Gene set	Signature Modules
M00651	40	Drug resistance	Gene set	Signature Modules
M00652	40	Drug resistance	Gene set	Signature Modules
M00704	40	Drug resistance	Gene set	Signature Modules
M00725	40	Drug resistance	Gene set	Signature Modules
M00726	40	Drug resistance	Gene set	Signature Modules
M00730	40	Drug resistance	Gene set	Signature Modules
M00744	40	Drug resistance	Gene set	Signature Modules
M00718	40	Drug resistance	Gene set	Signature Modules
M00639	40	Drug resistance	Gene set	Signature Modules
M00641	40	Drug resistance	Gene set	Signature Modules
M00642	40	Drug resistance	Gene set	Signature Modules
M00643	40	Drug resistance	Gene set	Signature Modules
M00769	40	Drug resistance	Gene set	Signature Modules
M00649	40	Drug resistance	Gene set	Signature Modules
M00696	40	Drug resistance	Gene set	Signature Modules
M00697	40	Drug resistance	Gene set	Signature Modules
M00698	40	Drug resistance	Gene set	Signature Modules
M00700	40	Drug resistance	Gene set	Signature Modules
M00702	40	Drug resistance	Gene set	Signature Modules
M00714	40	Drug resistance	Gene set	Signature Modules
M00705	40	Drug resistance	Gene set	Signature Modules
M00746	40	Drug resistance	Gene set	Signature Modules
M00660	41	Plant pathogenicity	Gene set	Signature Modules
M00664	42	Symbiosis	Gene set	Signature Modules
M00611	43	Metabolic capacity	Module set	Signature Modules
M00612	43	Metabolic capacity	Module set	Signature Modules
M00613	43	Metabolic capacity	Module set	Signature Modules
M00614	43	Metabolic capacity	Module set	Signature Modules
M00617	43	Metabolic capacity	Module set	Signature Modules
M00618	43	Metabolic capacity	Module set	Signature Modules
M00615	43	Metabolic capacity	Module set	Signature Modules
M00616	43	Metabolic capacity	Module set	Signature Modules
