#cluster_id	cluster_type	1to1_type	proteome_count	percentage_at_target_count
OG0001232	shared	true	23	1.00
OG0001233	shared	true	23	1.00
OG0001234	shared	true	23	1.00
OG0001235	shared	true	23	1.00
OG0001236	shared	true	23	1.00
OG0001237	shared	true	23	1.00
OG0001238	shared	true	23	1.00
OG0001239	shared	true	23	1.00
OG0001240	shared	true	23	1.00
OG0001241	shared	true	23	1.00
OG0001242	shared	true	23	1.00
OG0001243	shared	true	23	1.00
OG0001244	shared	true	23	1.00
OG0001245	shared	true	23	1.00
OG0001246	shared	true	23	1.00
OG0001247	shared	true	23	1.00
OG0001248	shared	true	23	1.00
OG0001249	shared	true	23	1.00
OG0001250	shared	true	23	1.00
OG0001251	shared	true	23	1.00
OG0001252	shared	true	23	1.00
OG0001253	shared	true	23	1.00
OG0001254	shared	true	23	1.00
OG0001255	shared	true	23	1.00
OG0001256	shared	true	23	1.00
OG0001257	shared	true	23	1.00
OG0001258	shared	true	23	1.00
OG0001259	shared	true	23	1.00
OG0001260	shared	true	23	1.00
OG0001261	shared	true	23	1.00
OG0001262	shared	true	23	1.00
OG0001263	shared	true	23	1.00
OG0001264	shared	true	23	1.00
OG0001265	shared	true	23	1.00
OG0001266	shared	true	23	1.00
OG0001267	shared	true	23	1.00
OG0001268	shared	true	23	1.00
OG0001269	shared	true	23	1.00
OG0001270	shared	true	23	1.00
OG0001271	shared	true	23	1.00
OG0001272	shared	true	23	1.00
OG0001273	shared	true	23	1.00
OG0001274	shared	true	23	1.00
OG0001275	shared	true	23	1.00
OG0001276	shared	true	23	1.00
OG0001277	shared	true	23	1.00
OG0001278	shared	true	23	1.00
OG0001279	shared	true	23	1.00
OG0001280	shared	true	23	1.00
OG0001281	shared	true	23	1.00
OG0001282	shared	true	23	1.00
OG0001283	shared	true	23	1.00
OG0001284	shared	true	23	1.00
OG0001285	shared	true	23	1.00
OG0001286	shared	true	23	1.00
OG0001287	shared	true	23	1.00
OG0001288	shared	true	23	1.00
OG0001289	shared	true	23	1.00
OG0001290	shared	true	23	1.00
OG0001291	shared	true	23	1.00
OG0001292	shared	true	23	1.00
OG0001293	shared	true	23	1.00
OG0001294	shared	true	23	1.00
OG0001295	shared	true	23	1.00
OG0001296	shared	true	23	1.00
OG0001297	shared	true	23	1.00
OG0001298	shared	true	23	1.00
OG0001299	shared	true	23	1.00
OG0001300	shared	true	23	1.00
OG0001301	shared	true	23	1.00
OG0001302	shared	true	23	1.00
OG0001303	shared	true	23	1.00
OG0001304	shared	true	23	1.00
OG0001305	shared	true	23	1.00
OG0001306	shared	true	23	1.00
OG0001307	shared	true	23	1.00
OG0001308	shared	true	23	1.00
OG0001309	shared	true	23	1.00
OG0001310	shared	true	23	1.00
OG0001311	shared	true	23	1.00
OG0001312	shared	true	23	1.00
OG0001313	shared	true	23	1.00
OG0001314	shared	true	23	1.00
OG0001315	shared	true	23	1.00
OG0001316	shared	true	23	1.00
OG0001317	shared	true	23	1.00
OG0001318	shared	true	23	1.00
OG0001319	shared	true	23	1.00
OG0001320	shared	true	23	1.00
OG0001321	shared	true	23	1.00
OG0001322	shared	true	23	1.00
OG0001323	shared	true	23	1.00
OG0001324	shared	true	23	1.00
OG0001325	shared	true	23	1.00
OG0001326	shared	true	23	1.00
OG0001327	shared	true	23	1.00
OG0001328	shared	true	23	1.00
OG0001329	shared	true	23	1.00
OG0001330	shared	true	23	1.00
OG0001331	shared	true	23	1.00
OG0001332	shared	true	23	1.00
OG0001333	shared	true	23	1.00
OG0001334	shared	true	23	1.00
OG0001335	shared	true	23	1.00
OG0001336	shared	true	23	1.00
OG0001337	shared	true	23	1.00
OG0001338	shared	true	23	1.00
OG0001339	shared	true	23	1.00
OG0001340	shared	true	23	1.00
OG0001341	shared	true	23	1.00
OG0001342	shared	true	23	1.00
OG0001343	shared	true	23	1.00
OG0001344	shared	true	23	1.00
OG0001345	shared	true	23	1.00
OG0001346	shared	true	23	1.00
OG0001347	shared	true	23	1.00
OG0001348	shared	true	23	1.00
OG0001349	shared	true	23	1.00
OG0001350	shared	true	23	1.00
OG0001351	shared	true	23	1.00
OG0001352	shared	true	23	1.00
OG0001353	shared	true	23	1.00
OG0001354	shared	true	23	1.00
OG0001355	shared	true	23	1.00
OG0001356	shared	true	23	1.00
OG0001357	shared	true	23	1.00
OG0001358	shared	true	23	1.00
OG0001359	shared	true	23	1.00
OG0001360	shared	true	23	1.00
OG0001361	shared	true	23	1.00
OG0001362	shared	true	23	1.00
OG0001363	shared	true	23	1.00
OG0001364	shared	true	23	1.00
OG0001365	shared	true	23	1.00
OG0001366	shared	true	23	1.00
OG0001367	shared	true	23	1.00
OG0001368	shared	true	23	1.00
OG0001369	shared	true	23	1.00
OG0001370	shared	true	23	1.00
OG0001372	shared	true	23	1.00
OG0001373	shared	true	23	1.00
OG0001374	shared	true	23	1.00
OG0001375	shared	true	23	1.00
OG0001376	shared	true	23	1.00
OG0001377	shared	true	23	1.00
OG0001378	shared	true	23	1.00
OG0001379	shared	true	23	1.00
OG0001380	shared	true	23	1.00
OG0001381	shared	true	23	1.00
OG0001382	shared	true	23	1.00
OG0001383	shared	true	23	1.00
OG0001384	shared	true	23	1.00
OG0001385	shared	true	23	1.00
OG0001386	shared	true	23	1.00
OG0001387	shared	true	23	1.00
OG0001391	shared	true	23	1.00
OG0001392	shared	true	23	1.00
OG0001393	shared	true	23	1.00
OG0001394	shared	true	23	1.00
OG0001395	shared	true	23	1.00
OG0001396	shared	true	23	1.00
OG0001397	shared	true	23	1.00
OG0001398	shared	true	23	1.00
OG0001399	shared	true	23	1.00
OG0001400	shared	true	23	1.00
OG0001401	shared	true	23	1.00
OG0001402	shared	true	23	1.00
OG0001403	shared	true	23	1.00
OG0001404	shared	true	23	1.00
OG0001405	shared	true	23	1.00
OG0001406	shared	true	23	1.00
OG0001407	shared	true	23	1.00
OG0001408	shared	true	23	1.00
OG0001409	shared	true	23	1.00
OG0001410	shared	true	23	1.00
OG0001411	shared	true	23	1.00
OG0001412	shared	true	23	1.00
OG0001413	shared	true	23	1.00
OG0001414	shared	true	23	1.00
OG0001415	shared	true	23	1.00
