#cluster_id	cluster_type	1to1_type	proteome_count	percentage_at_target_count
OG0000537	shared	true	23	0.96
OG0000538	shared	true	23	0.96
OG0000539	shared	true	23	0.96
OG0000540	shared	true	23	0.96
OG0000541	shared	true	23	0.96
OG0000542	shared	true	23	0.96
OG0000546	shared	true	23	0.96
OG0000548	shared	true	23	0.96
OG0000549	shared	true	23	0.96
OG0000551	shared	true	23	0.96
OG0000552	shared	true	23	0.96
OG0000553	shared	true	23	0.96
OG0000554	shared	true	23	0.96
OG0000555	shared	true	23	0.96
OG0000556	shared	true	23	0.96
OG0000557	shared	true	23	0.96
OG0000558	shared	true	23	0.96
OG0000559	shared	true	23	0.96
OG0000560	shared	true	23	0.96
OG0000561	shared	true	23	0.96
OG0000562	shared	true	23	0.96
OG0000563	shared	true	23	0.96
OG0000564	shared	true	23	0.96
OG0000565	shared	true	22	0.91
OG0000566	shared	true	23	0.96
OG0000567	shared	true	23	0.96
OG0000568	shared	true	23	0.96
OG0000569	shared	true	23	0.96
OG0000570	shared	true	23	0.96
OG0000571	shared	true	23	0.96
OG0000572	shared	true	23	0.96
OG0000573	shared	true	23	0.96
OG0000574	shared	true	23	0.96
OG0000575	shared	true	23	0.96
OG0000576	shared	true	23	0.96
OG0000577	shared	true	22	0.91
OG0000579	shared	true	23	0.96
OG0000580	shared	true	23	0.96
OG0000581	shared	true	23	0.96
OG0000582	shared	true	23	0.96
OG0000583	shared	true	23	0.96
OG0000584	shared	true	23	0.96
OG0000585	shared	true	23	0.96
OG0000586	shared	true	23	0.96
OG0000587	shared	true	23	0.96
OG0000588	shared	true	23	0.96
OG0000591	shared	true	23	0.96
OG0000592	shared	true	23	0.96
OG0000593	shared	true	23	0.96
OG0000594	shared	true	23	0.96
OG0000595	shared	true	21	0.86
OG0000596	shared	true	22	0.91
OG0000597	shared	true	23	0.96
OG0000598	shared	true	23	0.96
OG0000599	shared	true	23	0.96
OG0000601	shared	true	23	0.96
OG0000602	shared	true	23	0.96
OG0000603	shared	true	23	0.96
OG0000605	shared	true	23	0.96
OG0000606	shared	true	23	0.96
OG0000607	shared	true	23	0.96
OG0000608	shared	true	23	0.96
OG0000609	shared	true	23	0.96
OG0000610	shared	true	23	0.96
OG0000613	shared	true	23	0.96
OG0000614	shared	true	23	0.96
OG0000615	shared	true	23	0.96
OG0000616	shared	true	23	0.96
OG0000617	shared	true	23	0.96
OG0000618	shared	true	23	0.96
OG0000619	shared	true	23	0.96
OG0000620	shared	true	23	0.96
OG0000621	shared	true	23	0.96
OG0000622	shared	true	23	0.96
OG0000623	shared	true	23	0.96
OG0000624	shared	true	23	0.96
OG0000626	shared	true	23	0.96
OG0000627	shared	true	23	0.96
OG0000628	shared	true	23	0.96
OG0000629	shared	true	23	0.96
OG0000630	shared	true	23	0.96
OG0000631	shared	true	23	0.96
OG0000632	shared	true	22	0.91
OG0000633	shared	true	23	0.96
OG0000634	shared	true	23	0.96
OG0000635	shared	true	23	0.96
OG0000636	shared	true	23	0.96
OG0000637	shared	true	23	0.96
OG0000638	shared	true	23	0.96
OG0000639	shared	true	23	0.96
OG0000640	shared	true	23	0.96
OG0000641	shared	true	23	0.96
OG0000643	shared	true	23	0.96
OG0000644	shared	true	23	0.96
OG0000645	shared	true	23	0.96
OG0000646	shared	true	23	0.96
OG0000647	shared	true	23	0.96
OG0000648	shared	true	23	0.96
OG0000649	shared	true	23	0.96
OG0000650	shared	true	23	0.96
OG0000651	shared	true	23	0.96
OG0000652	shared	true	17	0.59
OG0000653	shared	true	23	0.96
OG0000654	shared	true	23	0.96
OG0000656	shared	true	23	0.96
OG0000657	shared	true	23	0.96
OG0000658	shared	true	23	0.96
OG0000659	shared	true	23	0.96
OG0000663	shared	true	23	0.96
OG0000664	shared	true	23	0.96
OG0000665	shared	true	23	0.96
OG0000666	shared	true	23	0.96
OG0000667	shared	true	23	0.96
OG0000668	shared	true	23	0.96
OG0000669	shared	true	23	0.96
OG0000670	shared	true	23	0.96
OG0000673	shared	true	23	0.96
OG0000674	shared	true	23	0.96
OG0000676	shared	true	23	0.96
OG0000677	shared	true	23	0.96
OG0000678	shared	true	23	0.96
OG0000679	shared	true	23	0.96
OG0000680	shared	true	23	0.96
OG0000681	shared	true	23	0.96
OG0000682	shared	true	23	0.96
OG0000683	shared	true	23	0.96
OG0000684	shared	true	23	0.96
OG0000685	shared	true	23	0.96
OG0000686	shared	true	23	0.96
OG0000689	shared	true	23	0.96
OG0000690	shared	true	23	0.96
OG0000691	shared	true	23	0.96
OG0000693	shared	true	23	0.96
OG0000694	shared	true	23	0.96
OG0000695	shared	true	22	0.91
OG0000696	shared	true	23	0.96
OG0000697	shared	true	23	0.96
OG0000698	shared	true	23	0.96
OG0000699	shared	true	23	0.96
OG0000700	shared	true	23	0.96
OG0000702	shared	true	23	0.96
OG0000703	shared	true	23	0.96
OG0000704	shared	true	23	0.96
OG0000705	shared	true	23	0.96
OG0000706	shared	true	23	0.96
OG0000707	shared	true	23	0.96
OG0000708	shared	true	23	0.96
OG0000709	shared	true	23	0.96
OG0000710	shared	true	23	0.96
OG0000711	shared	true	23	0.96
OG0000712	shared	true	23	0.96
OG0000713	shared	true	23	0.96
OG0000714	shared	true	23	0.96
OG0000715	shared	true	23	0.96
OG0000716	shared	true	23	0.96
OG0000717	shared	true	23	0.96
OG0000718	shared	true	23	0.96
OG0000719	shared	true	23	0.96
OG0000720	shared	true	23	0.96
OG0000721	shared	true	23	0.96
OG0000722	shared	true	23	0.96
OG0000723	shared	true	23	0.96
OG0000724	shared	true	23	0.96
OG0000725	shared	true	23	0.96
OG0000726	shared	true	23	0.96
OG0000728	shared	true	23	0.96
OG0000729	shared	true	23	0.96
OG0000730	shared	true	23	0.96
OG0000731	shared	true	23	0.96
OG0000732	shared	true	23	0.96
OG0000733	shared	true	23	0.96
OG0000734	shared	true	23	0.96
OG0000735	shared	true	23	0.96
OG0000736	shared	true	23	0.96
OG0000737	shared	true	23	0.96
OG0000738	shared	true	23	0.96
OG0000739	shared	true	23	0.96
OG0000740	shared	true	23	0.96
OG0000741	shared	true	23	0.96
OG0000742	shared	true	23	0.96
OG0000743	shared	true	23	0.96
OG0000745	shared	true	23	0.96
OG0000746	shared	true	23	0.96
OG0000749	shared	true	23	0.96
OG0000750	shared	true	23	0.96
OG0000751	shared	true	23	0.96
OG0000752	shared	true	23	0.96
