Desc	Family ID	Leptographium_lundbergii_CBS138716	Ophiostoma_fasciatum_VPRI43845	Ophiostoma_ips_VPRI43529	Ophiostoma_novoulmi_H327	Sporothrix_bragantina_CBS47491	Sporothrix_brasiliensis_5110	Sporothrix_brunneoviolacea_CBS124561	Sporothrix_curviconia_CBS95973	Sporothrix_dimorphospora_CBS55374	Sporothrix_epigloea_CBS119000	Sporothrix_epigloea_CBS57363	Sporothrix_epigloea_TF4163	Sporothrix_eucalyptigena_CBS139899	Sporothrix_eucalyptigena_CBS140593	Sporothrix_euskadiensis_VPRI43754	Sporothrix_globosa_CBS120340	Sporothrix_humicola_CBS118129	Sporothrix_inflata_CBS23968	Sporothrix_insectorum_RCEF264	Sporothrix_luriei_CBS93772	Sporothrix_mexicana_CBS120341	Sporothrix_nigrograna_VPRI43755	Sporothrix_pallida_CBS13156	Sporothrix_phasma_CBS119721	Sporothrix_protearum_CBS116654	Sporothrix_pseudoabietina_VPRI43531	Sporothrix_schenckii_1099	Sporothrix_thermara_CBS139747MAG	Sporothrix_variecibatus_CBS121961
(null)	A	16	13	15	17	19	19	23	19	22	11	13	12	21	21	16	20	22	23	17	17	21	14	22	14	17	18	19	15	22
(null)	C	53	54	55	56	52	54	65	55	59	51	50	51	55	55	54	54	57	61	56	53	63	53	58	49	51	54	54	53	58
(null)	G	5	1	1	1	1	1	2	1	2	1	1	1	2	2	1	1	1	1	2	1	2	1	1	1	2	1	1	2	1
(null)	M	75	66	66	72	82	70	96	77	94	65	65	64	81	84	81	73	82	88	73	68	88	69	82	66	73	80	75	69	84
(null)	N	0	0	0	0	0	2	0	1	0	0	0	0	1	1	1	0	0	0	1	1	0	0	0	0	0	1	2	1	0
(null)	P	0	0	0	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1
(null)	S	104	76	81	97	169	105	169	142	160	66	60	58	177	180	112	113	164	171	102	100	173	88	175	77	95	108	109	101	165
(null)	T	18	20	19	20	20	20	21	20	20	19	19	19	21	21	21	20	20	21	17	20	22	19	20	20	20	21	20	20	20
(null)	I	5	4	4	5	4	5	4	4	6	3	3	3	5	5	6	5	6	5	3	5	6	4	6	4	4	6	5	4	6
