FamilyID	Sporothrix_euskadiensis_VPRI43754<1>	Sporothrix_pseudoabietina_VPRI43531<2>	Sporothrix_variecibatus_CBS121961<3>	Sporothrix_protearum_CBS116654<4>	Sporothrix_humicola_CBS118129<5>	Sporothrix_pallida_CBS13156<6>	Sporothrix_mexicana_CBS120341<7>	Sporothrix_brasiliensis_5110<8>	Sporothrix_schenckii_1099<9>	Sporothrix_globosa_CBS120340<10>	Sporothrix_luriei_CBS93772<11>	Sporothrix_phasma_CBS119721<12>	Sporothrix_dimorphospora_CBS55374<13>	Sporothrix_inflata_CBS23968<14>	Sporothrix_bragantina_CBS47491<15>	Sporothrix_curviconia_CBS95973<16>	Sporothrix_thermara_CBS139747MAG<17>	Sporothrix_epigloea_CBS57363<18>	Sporothrix_epigloea_TF4163<19>	Sporothrix_epigloea_CBS119000<20>	Sporothrix_eucalyptigena_CBS139899<21>	Sporothrix_eucalyptigena_CBS140593<22>	Sporothrix_nigrograna_VPRI43755<23>	Ophiostoma_novoulmi_H327<24>	Ophiostoma_ips_VPRI43529<25>	Sporothrix_brunneoviolacea_CBS124561<26>	Ophiostoma_fasciatum_VPRI43845<27>	Sporothrix_insectorum_RCEF264<28>	Leptographium_lundbergii_CBS138716<29>	<30>	<31>	<32>	<33>	<34>	<35>	<36>	<37>	<38>	<39>	<40>	<41>	<42>	<43>	<44>	<45>	<46>	<47>	<48>	<49>	<50>	<51>	<52>	<53>	<54>	<55>	<56>	<57>
CBM20	0	0	0	-1	0	0	3	0	0	0	-1	-2	3	0	0	0	-1	0	0	-1	0	0	0	1	0	1	0	-1	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	-1	0	0	0	0	1	0	0	0	0	0	0	0	2	0
GH12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	-1	0	0	-1
GH5_5	0	0	1	0	0	0	0	0	0	0	-1	0	0	0	1	1	-1	0	0	0	0	1	1	0	-1	1	-3	-1	-1	0	0	0	0	0	0	1	0	0	0	0	-1	1	0	0	1	0	0	1	0	0	0	0	1	-2	0	2	0
GH7	0	0	2	-1	0	0	0	0	0	0	0	-2	0	0	2	0	-3	0	0	0	0	0	-3	0	-2	3	-3	3	-1	0	0	0	0	0	0	1	0	0	-1	0	-2	2	0	0	1	0	0	2	0	0	0	0	1	-3	0	2	-1
GH18	0	0	2	-1	-1	0	1	1	0	0	-1	-5	-2	5	5	2	-1	0	-1	-1	0	0	-3	2	-4	9	-4	3	1	0	3	1	0	0	1	1	0	0	-1	0	-1	3	0	0	1	0	1	2	0	0	0	0	1	-6	0	7	-1
GH20	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0
GH5_12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GT69	0	0	0	-1	0	0	0	0	0	0	0	-1	0	0	2	0	0	0	0	0	0	0	-1	0	-1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0
GT90	0	0	1	-1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	-1	0	1	0	-1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	-1	0	1	0
AA7	-2	0	3	-3	0	0	0	1	0	1	0	-4	2	0	5	3	-3	0	0	0	0	0	-3	0	0	5	-1	-1	3	0	1	0	0	0	0	1	0	0	-1	0	0	3	0	0	0	0	0	2	0	0	0	0	2	-6	0	6	-2
AA3_1	0	-1	1	0	0	0	0	1	0	1	0	-2	1	0	1	1	-1	0	0	0	0	0	-1	0	0	2	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	-1	1	0	0	0	0	0	0	0	0	0	0	1	0	-1	2	0
AA3_2	1	0	1	-2	0	0	0	0	0	1	1	-2	1	0	1	2	-2	0	0	0	0	0	-1	0	0	4	-3	2	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-3	0	3	-1
AA3	0	0	1	1	0	0	0	-1	1	-2	0	-1	0	2	1	-1	0	-1	0	-1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	-1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
AA16	0	0	0	-1	0	0	0	0	0	0	0	-2	0	0	0	0	-1	0	0	0	0	0	-1	0	-1	1	-1	1	0	0	0	0	0	0	0	1	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	1	-1	0	1	0
AA9	0	-1	7	-3	0	0	0	0	0	1	0	-6	1	3	4	6	-6	0	0	0	0	0	-6	2	-4	7	-6	9	-2	0	3	0	0	0	0	3	0	0	-1	0	-5	4	2	0	3	1	0	4	0	0	0	0	3	-7	0	8	-1
AA11	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	-1	0	0	-1	0	0	-1	0	-1	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0
GH5_11	0	0	0	-1	0	0	0	0	0	0	0	-1	0	0	0	-1	-1	0	0	0	0	0	-1	0	-1	0	-1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CE1	0	0	4	-1	0	4	0	-2	0	0	-1	-3	1	0	6	2	-3	0	0	0	0	0	-3	0	-2	3	-3	2	-2	0	1	0	0	0	0	1	0	0	-1	0	-3	4	0	0	0	0	0	3	0	0	0	0	4	-3	0	9	-1
CE12	1	-1	1	-1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	-1	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	1	0
CE4	0	0	1	0	0	0	0	0	0	1	0	-1	0	1	1	0	-1	0	0	0	0	0	-1	0	-1	0	-2	1	1	0	1	0	0	0	0	0	0	0	0	0	-1	0	-1	-1	0	0	0	1	0	0	0	0	0	-2	0	1	0
CE5	0	0	2	-1	0	0	0	0	0	1	0	-2	0	0	1	0	-1	0	0	0	0	0	-2	0	0	2	-2	0	-1	0	0	0	0	0	0	1	0	0	-1	0	-1	1	1	0	0	0	0	1	0	0	0	0	0	-2	0	2	-1
GH2	-1	0	7	-1	0	0	2	0	0	0	-1	-4	0	2	5	2	-3	0	-1	0	0	0	-4	-1	0	3	-2	1	-1	0	1	0	0	0	1	2	0	0	0	0	-2	3	0	-1	0	0	0	3	0	0	0	0	3	-5	0	4	-1
