cluster_id	cov
0	14.7978333333333
1	40.4231995015106
2	15.894
3	5.09195936570862
4	11.8276666666667
5	5.2604292611251
6	5.46396332133213
7	29.6122905982906
8	5.94629910406616
9	82.8005123809524
10	29.8113170049451
11	5.09164329781268
12	11.587
13	12.3390022512151
14	5.47584544836957
15	6.155
16	6.715
17	412.277
18	5.41921428571429
19	5.17282815057283
20	5.84128026449644
21	7.32045892857143
22	7.41230623306233
23	4.94522366863905
24	4.936
25	14.9608021256199
26	32.377
27	12.1969577537352
28	17.9308587954673
29	7.92974393330356
30	9.47238768115942
31	5.462
32	2.442
33	6.354
34	4.718
35	3.874
36	76.3033757159425
37	5.752
38	7.43527838908451
39	5.07236363636364
40	12.214
41	129.143867892734
42	55.255
43	7.51323711340206
44	4.8168
45	13.4047304347826
46	92.5647894736842
47	4.763
48	7.2896
49	100.501714285714
50	8.35592
51	8.74881733618234
52	4.4325
53	5.76029115084823
54	18.7225555555556
55	5.1675
56	6.805964
57	6.044
58	4.1022
59	3.862
60	9.24431567080045
61	5.75323613829093
62	5.20171428571429
63	90.110736171326
64	7.94996207430341
65	13.8935
66	4.852
67	7.32825
68	103.77875
69	9.72131849449686
70	5.381
71	5.32602348736278
72	6.83577777777778
73	28.2907272727273
74	19.7612147911045
75	49.5279862109285
76	10.8350768242549
77	6.36982608695652
78	5.48634637830415
79	35.5744375205848
80	530.810909090909
81	160.013022180562
82	15.5982647058824
83	25.105675926314
84	14.1545956921705
85	115.4575
86	191.293063895367
87	2.827
88	9.28474353948897
89	5.52658603645351
90	64.8572093023256
91	6.698
92	184.384333333333
93	11.564
94	9.37981241997439
95	16.1068888888889
96	76.2664217750931
97	7.71888888888889
98	10.5131111111111
99	127.261424063116
100	4.027
101	26.6733604399558
102	5.69175
103	14.866
104	83.7195
105	9.45414451516993
106	9.3
107	28.4355
108	19.758675
109	22.1508494907133
110	446.307
111	3.285
112	24.9928137755102
113	7.127
114	7.69803337783712
115	4.58849264239503
116	18.4758636363636
117	5.55829187710438
118	17.7342857142857
119	4.003
120	4.17511764705882
121	4.84524399260628
122	22.0242325581395
123	460.868043010753
124	15.5964142100181
125	6.78741841841842
126	21.917279061478
127	13.448
128	135.761
129	3.43905626431142
130	224.421695482377
131	344.729940442844
132	14.0157307692308
133	5.583
134	7.22759259259259
135	4.83311518987342
136	6.37391176470588
137	54.2974666666667
138	5.77542857142857
139	5.44596377480388
140	5.18204771311351
141	5.915
142	6.222
143	14.6042727272727
144	8.42312231759657
145	4.9585
146	4.024
147	5.5261595829992
148	67.71
149	23.4078
150	5.99477777777778
151	41.4925178590698
152	22.0123232323232
153	7.69175515092822
154	4.969
155	250.819824074107
156	19.2400425117005
157	18.733625
158	5.99000553059108
159	16.6946432010291
NA	3.92904984704195
